--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
 Twenge                  	 twenge                  	0.5820
 sampling.Wɔ             	 sampling.wɔ             	0.6177
 odompo                  	 odompo                  	0.5542
 wɔresua                 	 wɔresua                 	0.4886
 atɔ                     	 atɔ                     	0.9557
 moatotɔ                 	 moatotɔ                 	0.5276
 gri                     	 gri                     	0.9991
 wɔnsa.                  	 wɔnsa.                  	0.5060
 tukorɔ                  	 tukorɔ                  	0.9911
 hyɛberɛ                 	 hyɛterɛ                 	0.7223
 mprɛnson                	 mprɛnson                	0.8205
 merebu                  	 merebu                  	0.6002
 akyɛdeɛ                 	 akyɛdeɛ                 	0.5055
 Saltykov                	 Saltykov                	0.4937
 Bildad                  	 Bildad                  	0.7949
 mmu                     	 mmu                     	0.4687
 Styx                    	 Styx                    	0.8438
 woanyin                 	 woanyin                 	0.5735
 wotutui                 	 wotutui                 	0.6510
 retratra                	 retratra                	0.9724
 Ntanka                  	 Ntanka                  	0.9884
 Psalms                  	 Psalms                  	0.7044
 aboterɛ                 	 aboterɛ                 	0.8689
 Odidifo                 	 Odidifo                 	0.9741
 ɛrefa                   	 ɛrefa                   	0.5305
 guamtenani              	 guamtenani              	0.3179
 wɔbɛwaawae              	 wɔbɛwaawae              	0.9255
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Wɔbɛpopa                	 Wɔbɛpopa                	0.1799
 ..                      	 ..                      	0.9841
 NNURUYɛ                 	 NWURUYɛ                 	0.8672
 worekɔda                	 worekɔda                	0.6629
 Yehuu                   	 Yehuu                   	0.8775
 .                       	 .                       	0.9923
 Akuffo                  	 Akuffo                  	0.8759
 ENTI                    	 ENTI                    	0.7077
 ɛohansson               	 ɛohansson               	0.4121
 yɛantra                 	 yɛantra                 	0.7566
 akorow                  	 akorow                  	0.2619
 kɔsiei                  	 kɔsiei                  	0.6676
 bɛsoa                   	 bɛsoa                   	0.9966
 Bɛhoahoa                	 Bɛhoahoa                	0.4807
 akwankyerɛfoɔ           	 akwankyerɛfoɔ           	0.7427
 montiatia               	 montiatia               	0.6613
 Ympere                  	 Ympere                  	0.8121
 ɛgyina                  	 ɛgyina                  	0.8394
 Svres                   	 Svres                   	0.8317
 ɔmammayɛ                	 ɔmammayɛ                	0.9145
 Dwight                  	 Dwight                  	0.5415
 Barrie                  	 Barrie                  	0.7918
 adwobr                  	 adwobr                  	0.9926
 akuakuw                 	 akuakuw                 	0.3103
 bɔe                     	 bɔe                     	0.9045
 aguabɔ                  	 aguabɔ                  	0.8581
 KOMAM                   	 KOMAM                   	0.9485
 Kir                     	 Kir                     	0.9023
 neghedh                 	 noghedh                 	0.4873
 Medwanetoa              	 Medwametoa              	0.5959
 obonini                 	 obonini                 	0.8504
 wɔsuntisuntii           	 wɔsuntisuntii           	0.4371
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 wɔyɛnee                 	 wɔyɛnee                 	0.6906
 wohyiae                 	 wohyiae                 	0.6889
 .                       	 .                       	0.9891
 ɔbɛsu.                  	 ɔbɛsu.                  	0.9821
 prɛɛ                    	 prɛɛ                    	0.9751
 suma                    	 suma                    	0.9882
 yebefura                	 yebefura                	0.5139
 Hintidua                	 Hintidua                	0.5040
 Angkor                  	 Angkor                  	0.9968
 .                       	 .                       	0.7823
 mewɔ                    	 mewɔ                    	0.9543
 nwɔtwe.                 	 nwɔtwe.                 	0.9683
 kuta                    	 kuta                    	0.6752
 Hornan                  	 Hornan                  	0.9896
 sɛ                      	 sɛ                      	0.9303
 bɛkyerɛkyerɛw           	 bɛkyerɛkyerɛw           	0.4394
 Finished                	 Finished                	0.4934
 woabu                   	 woabu                   	0.8225
 ɔtuiɛ                   	 ɔtuiɛ                   	0.8725
 Misuasua                	 Misuasua                	0.4793
 Minyae                  	 Minyae                  	0.9967
 kotiei                  	 kotiei                  	0.9069
 nnyera                  	 nnyera                  	0.7407
 Mileto.                 	 Mileto.                 	0.8776
 yewuraa                 	 yewuraa                 	0.7798
 rekosusuw               	 rekosusuw               	0.8442
 Rastall                 	 Rastall                 	0.5560
 wontwiri                	 wontwiri                	0.4630
 Merenya                 	 Merenya                 	0.4222
 kanko                   	 kanko                   	0.9970
 ananteɛ?                	 ananteɛ?                	0.9760
 ɔrenkye                 	 ɔrenkye                 	0.8721
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Lebyazhe                	 Lebyazhe                	0.9751
 .                       	 .                       	0.9839
 btumi                   	 btumi                   	0.9345
 Green                   	 Green                   	0.9994
 Nnam                    	 Nnam                    	0.9771
 ɔkɛseɛ                  	 ɔkɛseɛ                  	0.9952
 Abelmisraim             	 Abelmisraim             	0.7414
 Mommue                  	 Mommue                  	0.3088
 asɔfopɔn                	 asɔfopɔn                	0.4809
 Momaa                   	 Momaa                   	0.9602
 enkogu                  	 enkogu                  	0.7503
 wɔahweteɛ               	 wɔahweteɛ               	0.4505
 sraani                  	 sraani                  	0.8475
 t.m..t                  	 tm..t                   	0.9203
 Ahyɛ                    	 Ahyɛ                    	0.9999
 ɔntena.                 	 ɔntena.                 	0.9137
 mmɛwa                   	 mmɛwa                   	0.5922
 Kakagya                 	 Kakagya                 	0.9677
 kɔkoto                  	 kɔkoto                  	0.9966
 Arkansas                	 Arkansas                	0.9107
 nnua                    	 nnua                    	0.8263
 Wɔgow                   	 Wɔgow                   	0.9285
 wɔpae                   	 wɔpae                   	0.3773
 nkyimiiɛ                	 nkyimiiɛ                	0.7907
 Natan                   	 Natan                   	0.9937
 frɛ                     	 frɛ                     	0.8813
 wudwo                   	 wudwo                   	0.8409
 Abirabɔsɛm              	 Abirabɔsɛm              	0.5294
 ɛho                     	 ɛho                     	0.9741
 Nware                   	 Nware                   	0.8538
 Simony                  	 Simony                  	0.5336
 HwenemHwenem            	 Hwesondtwenon           	0.0000
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 ynsusu                  	 ynsusu                  	0.8253
 Heberfoɔ                	 Heberfoɔ                	0.9864
 Wɔsii                   	 Wɔsii                   	0.9955
 ɔbɛsɔ                   	 ɔbɛsɔ                   	0.9728
 yɛnam                   	 yɛnam                   	0.9935
 atomfoɔ                 	 atomfoɔ                 	0.3517
 Kessler                 	 Kessler                 	0.9462
 Akyitaafo               	 Akyitaafo               	0.3852
 Etanim                  	 Etanim                  	0.5368
 Nkɔmmɔdie               	 Nkɔmmɔdie               	0.2894
 Talking                 	 Talking                 	0.6746
 Kruɛ                    	 Kruɛ                    	0.7468
 nyansadɔnyɛfo           	 nyansadɔnyɛfo           	0.6871
 Akhetaton               	 Akhetaton               	0.3044
 Kim                     	 Kim                     	0.9927
 nkyer                   	 nkyer                   	0.7414
 ..                      	 ..                      	0.7038
 mɛfe                    	 mɛfe                    	0.7410
 ɛbɛda.                  	 ɛbɛda.                  	0.4442
 apranaa                 	 apranaa                 	0.4453
 nsɛmmɔnedifo            	 nsɛmmɔnedifo            	0.1048
 worekyia                	 worekyia                	0.5008
 ntoma                   	 ntoma                   	0.8769
 Nnwoa                   	 Nnwoa                   	0.2544
 Shammah                 	 Shammah                 	0.5927
 ɔoexistenɔe.            	 ɔoesistenɔe.            	0.1784
 wɔrekɔhwehwɛ            	 wɔrekɔhwehwɛ            	0.4837
 Nyankopɔn!              	 Nyankopɔn!              	0.5780
 donadoni                	 donadoni                	0.6128
 framfram                	 framfram                	0.3244
 mmɔborɔfoɔ              	 omɔborɔfoɔ              	0.0508
 Kunini                  	 Kunini                  	0.6241
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 ɔdansefoɔ               	 ɔdansefoɔ               	0.6218
 and                     	 and                     	0.9935
 Batey                   	 Batey                   	0.9430
 Wɔahwie                 	 Wɔahwie                 	0.7478
 Baal.                   	 Baal.                   	0.9467
 daimone                 	 daimone                 	0.7093
 RGO                     	 RGO                     	0.5430
 antwam                  	 antwam                  	0.5120
 atutena                 	 atutena                 	0.4994
 nsusuwii                	 nsusuwii                	0.8082
 I                       	 I                       	0.9630
 mapat                   	 mapat                   	0.9735
 AɔɔraTema               	 AɔɔraTema               	0.9536
 meeɛ                    	 meeɛ                    	0.9340
 Kyrenia                 	 Kyrenia                 	0.9816
 Assimilatory            	 Assimilatory            	0.4072
 ɛfere                   	 ɛfere                   	0.9650
 apopobibireboɔ          	 apopobisireboɔ          	0.5669
 Mekyerɛ                 	 Mekyerɛ                 	0.7007
 Munda                   	 Munda                   	0.6821
 nkyɛm                   	 nkyɛm                   	0.9190
 Luiz                    	 Luiz                    	0.8986
 nneyɛɛ                  	 nneyɛɛ                  	0.6381
 asukɔnkɔn               	 asukɔnkɔn               	0.3626
 makɔnyane               	 makɔnyane               	0.3810
 Yoshiya                 	 Yoshiya                 	0.2405
 ɔkamfoo                 	 ɔkamfoo                 	0.8234
 nokasasu                	 nokasasu                	0.9927
 Metɔdistfo              	 mrtudisfo               	0.0012
 worm                    	 worm                    	0.6860
 neptunium               	 neptunium               	0.7002
 Pentikoste              	 Pentikoste              	0.5586
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Netanel                 	 Netanel                 	0.8093
 wɔbɛtutu.               	 wɔbɛtutu.               	0.3048
 ɔreteɛteɛ               	 ɔreteɛteɛ               	0.7549
 kɔsie                   	 kɔsie                   	0.9678
 Saɔkey.                 	 Saɔkey.                 	0.9264
 Sivan                   	 Sivan                   	0.9702
 Simeon                  	 Simeon                  	0.8410
 Tudor                   	 Tudor                   	0.9452
 Assembly                	 Assembly                	0.5137
 Hermilo                 	 Hermito                 	0.0757
 anhi                    	 anhi                    	0.9322
 nyamrasɛm               	 nyamrasɛm               	0.6181
 mehemehe                	 mehemehe                	0.9927
 pin                     	 pin                     	0.9927
 Oduu                    	 Oduu                    	0.6355
 Akyire                  	 Akyire                  	0.7259
 nnkɔbɔ                  	 nnkɔbɔ                  	0.7184
 Topae                   	 Topae                   	0.5428
 ɛyere                   	 ɛyere                   	0.4358
 yɛrekɔhwɛ               	 yɛresɔhwɛ               	0.9648
 Latter                  	 Latter                  	0.9594
 kitu                    	 kitu                    	0.9853
 ɔntumi                  	 ɔntumi                  	0.5815
 Mehia                   	 Mehia                   	0.9965
 Wabubu                  	 Wabubu                  	0.2830
 Fresɔhel                	 Fresɔhel                	0.0968
 Woate                   	 Woate                   	0.5156
 Moloɔh                  	 Moloɔn                  	0.5115
 Ahokafo                 	 Ahokafo                 	0.9155
 Bio!                    	 Bio!                    	0.9985
 NNUBɔNE                 	 NNUBɔNE                 	0.4266
 ahodannan               	 ahodannan               	0.3090
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 wantɔn                  	 wantɔn                  	0.9412
 Rosenbaum               	 Rosenbaum               	0.8611
 Yafa                    	 Yafa                    	0.9582
 yɛfoa                   	 yɛfoa                   	0.6545
 suroo                   	 suroo                   	0.8382
 afam.                   	 afam.                   	0.6263
 Mohegan                 	 Mohegan                 	0.9961
 Asotifo                 	 Asotifo                 	0.5711
 Seraphim                	 Seraphim                	0.7473
 Eɛstrup                 	 Eɛstrup                 	0.4345
 ɛnkasa                  	 ɛnkasa                  	0.9660
 ɔnantewee               	 ɔnantewee               	0.9707
 abetwam                 	 abetwam                 	0.9906
 ntɛmu                   	 ntɛmu                   	0.5695
 Ahinasa                 	 Ahinasa                 	0.5447
 reweawea                	 reweawea                	0.6401
 monnhunu                	 monnhunu                	0.5466
 howardhall.ɔom          	 howardhali.ɔom          	0.0821
 ahommoa                 	 ahommoa                 	0.4901
 Hefata!                 	 Hefata!                 	0.7240
 ALEXANDRIA              	 AɛAMDRIA                	0.0110
 wobɛkyɛ                 	 wobɛkyɛ                 	0.7640
 koraa!                  	 koraa!                  	0.8665
 Pathologiɔal            	 Pathodogkɔd             	0.0131
 nsaborɔ                 	 nsaborɔ                 	0.9740
 W.A.                    	 W.a.                    	0.2916
 Renfrew                 	 Renfrew                 	0.5184
 wɔatɔre                 	 wɔatɔre                 	0.2079
 yɛanhwere               	 yɛanhwere               	0.3256
 wonkodu                 	 wonkodu                 	0.6172
 monsoo                  	 monsoo                  	0.9908
 Fɛm                     	 Fɛm                     	0.8001
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 wɔammobɔ                	 wɔammobɔ                	0.7006
 Raedle                  	 Raedle                  	0.4503
 nhurutoa                	 nhurutoa                	0.6665
 Lepta                   	 Lepta                   	0.7624
 ɔkɔfaa                  	 ɔkɔfaa                  	0.6641
 Karlsruhe               	 Karlsruhe               	0.9304
 Wɔnkamfo                	 Wɔnkamfo                	0.4551
 ɛbɛsoa                  	 ɛbɛsoa                  	0.6500
 hekta                   	 hekta                   	0.6972
 mpon.                   	 mpon.                   	0.6789
 wɔakokyinkyin           	 wɔakokyinkyin           	0.9553
 abfra                   	 abfra                   	0.4594
 Lamp                    	 Lamp                    	0.9590
 ɛaɔk                    	 ɛaɔk                    	0.9173
 resiw                   	 resiw                   	0.7016
 ngɛɛ                    	 ngɛɛ                    	0.9978
 mm                      	 mm                      	0.9755
 Abron                   	 Abron                   	0.9994
 nnɔhwerew               	 nnɔhwerew               	0.6708
 mampanin                	 mampanin                	0.9494
 wankatakata             	 wankatakata             	0.7296
 Tyler                   	 Tyler                   	0.7493
 ɔrenhwie                	 ɔrenhwie                	0.4759
 Bera                    	 Bera                    	0.8791
 Krzok                   	 Krzok                   	0.8613
 kyinhyia.               	 kyinhyia.               	0.8409
 prako.                  	 prako.                  	0.7469
 nteeɛ                   	 nteeɛ                   	0.9534
 dwom                    	 dwom                    	0.9299
 Kyekye                  	 Kyekye                  	0.8252
 Pavageau                	 Pavageau                	0.8121
 ɛbɛka                   	 ɛbɛka                   	0.7433
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 gyatabereɛ              	 gyatabereɛ              	0.8254
 Monique                 	 Monique                 	0.9474
 Niurka                  	 Niurka                  	0.7634
 bɛyie                   	 bɛyie                   	0.9560
 Spirits                 	 Spirits                 	0.9478
 Donald                  	 Donald                  	0.8529
 Abiel                   	 Abiel                   	0.6502
 Estelmann               	 Estelmann               	0.9614
 Nobuko                  	 Nobuko                  	0.8747
 kr.                     	 kr.                     	0.9927
 Bivens                  	 Bivens                  	0.9484
 rempusu.                	 rempusu.                	0.6579
 Miantonomo              	 Miantonomo              	0.3793
 aduananabien            	 aduananabien            	0.2173
 ahɔhodan                	 ahɔhodan                	0.3539
 aorist                  	 aorist                  	0.9953
 twerɛbo                 	 twerɛbo                 	0.6781
 NSUFI                   	 NSUFI                   	0.9755
 Rollo                   	 Rollo                   	0.6149
 d                       	 d                       	0.5694
 Yamauɔhi                	 Yamauɔhi                	0.6802
 apɛde                   	 apɛde                   	0.5471
 rebewie                 	 rebewie                 	0.9492
 Ahyehyɛde               	 Ahyehyɛde               	0.9927
 ɔgyee                   	 ɔgyee                   	0.9993
 Laboratories            	 Laboratories            	0.3963
 engu                    	 engu                    	0.5346
 Dwa                     	 Dwa                     	0.1863
 IYV                     	 IYV                     	0.2802
 nkoraa                  	 nkoraa                  	0.5011
 nkfa                    	 nkfa                    	0.9202
 bɛtumi                  	 bɛtumi                  	0.5931
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Mibisae                 	 Mibisae                 	0.9259
 korɔmfo                 	 korɔmfo                 	0.6399
 bɛkorɔn.                	 bɛkorɔn.                	0.5615
 abatow                  	 abatow                  	0.4295
 woasesa                 	 woasesa                 	0.5957
 faɔebook                	 faɔebook                	0.5357
 ɛtete                   	 ɛtete                   	0.9993
 yate                    	 yate                    	0.8720
 ɔmmɛfa                  	 ɔmmɛfa                  	0.6742
 Mpanimfo                	 Mpanimfo                	0.8727
 woteɛ                   	 woteɛ                   	0.8241
 yp                      	 xp                      	0.8784
 Woannya                 	 Woaanya                 	0.1699
 Angkor                  	 Angkor                  	0.9872
 ntonto                  	 ntonto                  	0.2792
 Humphrey                	 Humphrey                	0.7780
 wɔnnue                  	 wɔnmue                  	0.6884
 Rafain                  	 Rafain                  	0.8871
 Ioannis                 	 Ioannis                 	0.9810
 Lemaitre                	 Lemaitre                	0.5528
 trapoo                  	 trapoo                  	0.9830
 wɔrebekunkum            	 wɔrebekunkum            	0.7344
 ɛtwirɛ                  	 ɛtwirɛ                  	0.5543
 kɔkasae                 	 kɔkasae                 	0.9482
 Franɔeni                	 Franɔeni                	0.7952
 seesei.                 	 seesei.                 	0.9874
 Nsadan                  	 Nsadan                  	0.9893
 Eva                     	 Eva                     	0.8166
 dwɛree                  	 dwɛree                  	0.8281
 apolisifo               	 apolisifo               	0.7131
 A.H.M                   	 A.H.M                   	0.3564
 Luke                    	 Luke                    	0.7363
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 anoyie.                 	 anoyie.                 	0.8190
 ɔbɛdɛfɛdɛfɛ             	 ɔbɛdɛfɛdɛfɛ             	0.6441
 meretie                 	 meretie                 	0.9567
 Aduyɛbea                	 Aduyɛbea                	0.4767
 Soan                    	 Soan                    	0.9995
 Morris                  	 Morris                  	0.9955
 yn                      	 yn                      	0.9872
 DINN                    	 DINN                    	0.9877
 Tanɔboase               	 Tanɔboase               	0.9762
 adunsinfoɔ              	 adunsinfoɔ              	0.3201
 er                      	 er                      	0.9987
 ankɔsi                  	 ankɔsi                  	0.9789
 ɔpae                    	 ɔpae                    	0.6231
 akosusuw                	 akosusuw                	0.8004
 Obenya                  	 Obenya                  	0.5738
 wobet                   	 wobet                   	0.9959
 ɔrehaw                  	 ɔrehaw                  	0.5922
 amemmenemfe             	 amemmenemfe             	0.1988
 Duyos                   	 Duyos                   	0.9084
 Nsaase                  	 Nsaase                  	0.8656
 Kyakya                  	 Kyakya                  	0.9944
 Krisotoni               	 Krisotoni               	0.5243
 kasabi                  	 kasabi                  	0.9880
 MDMA                    	 MDMA                    	0.3945
 KɔTɔNIMMA               	 KɔTɔNIMMA               	0.7054
 yɛasow                  	 yɛasow                  	0.2690
 paninnie                	 paninnie                	0.6940
 Osem                    	 Osem                    	0.9641
 kumkum                  	 kumkum                  	0.5670
 Herman                  	 Herman                  	0.9328
 Maseia                  	 Maseia                  	0.9773
 wbka                    	 wbka                    	0.9343
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 LA                      	 LA                      	0.9975
 bɛtu                    	 bɛtu                    	0.8419
 yɔnkoɔ                  	 yɔnkoɔ                  	0.7737
 abohemaa                	 abohemaa                	0.9212
 Forever                 	 Forever                 	0.8519
 Tkrma                   	 Tkrma                   	0.5738
 akodiawuo               	 akodiawuo               	0.1976
 akyekyɛ                 	 akyekyɛ                 	0.6715
 ASɔFOKUW                	 ASɔFOKUW                	0.9588
 BAABIARA                	 BAABIARA                	0.4104
 Patriɔk                 	 Patriɔk                 	0.7892
 explosion               	 explosion               	0.7527
 bɛkata                  	 bɛkata                  	0.5765
 b                       	 b                       	0.9999
 nkwagye                 	 nkwagye                 	0.5584
 nnɔkɔnnɔkwade           	 nnɔkɔnnɔkwade           	0.9004
 Methodius               	 Methodias               	0.0842
 MɔGrath                 	 MɔGrath                 	0.3237
 mososɔ                  	 mososɔ                  	0.5110
 Abana                   	 Abana                   	0.9988
 kpando                  	 kpando                  	0.9782
 akokɔnammono            	 akokɔnammono            	0.4012
 wɔrekyinkyim            	 wɔrekyinkyim            	0.4585
 Hoplite                 	 Hopiite                 	0.3213
 ɔsisie                  	 ɔsisie                  	0.6229
 sorɔnsorɔn              	 sorɔnsorɔn              	0.2445
 akono                   	 akono                   	0.8271
 Guard                   	 Guard                   	0.9440
 Mutwa                   	 Mutwa                   	0.7865
 wɔrenso                 	 wɔrenso                 	0.8092
 asansanfoɔ              	 asansanfoɔ              	0.2547
 Glasgow                 	 Glasgow                 	0.4051
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 mabegye                 	 mabegye                 	0.8356
 .                       	 .                       	0.8157
 wawu                    	 wawu                    	0.6438
 Wobebisaa               	 Wobebisaa               	0.8710
 wowo                    	 wowo                    	0.9000
 sikakorafoɔ             	 sikakorafoɔ             	0.1457
 Pollas                  	 Pollas                  	0.9830
 Gresford                	 Gresford                	0.8228
 Lying                   	 Lying                   	0.9076
 ahy                     	 ahy                     	0.9968
 Exxon                   	 Exxon                   	0.9973
 bɛkoe.                  	 bɛkoe.                  	0.8670
 Yebenyaa                	 Yebenyaa                	0.8384
 sommɔre                 	 sommɔre                 	0.7292
 Peto                    	 Peto                    	0.9995
 tirimuɔdenfoɔ           	 tirimuɔdenfoɔ           	0.6102
 KORINTOFOɔ              	 KORINTOFOɔ              	0.7595
 mmeranteberɛ            	 mmeranteberɛ            	0.2575
 aperepere               	 aperepere               	0.9895
 skirt                   	 skirt                   	0.7169
 pene                    	 pene                    	0.8350
 Gamlitz                 	 Gamtitz                 	0.4042
 .                       	 .                       	0.8560
 ahanson                 	 ahanson                 	0.9582
 rehintaw                	 rehintaw                	0.5308
 Niɔola                  	 Niɔola                  	0.3449
 Ahosakra                	 Ahosakra                	0.6625
 moantumi                	 moantumi                	0.6906
 ɔpɔn                    	 ɔpɔn                    	0.6982
 Umberto                 	 Umberto                 	0.8714
 koakoa                  	 koakoa                  	0.8527
 kronkronbea.            	 kronkronbea.            	0.3743
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Wɔne                    	 Wɔne                    	0.9401
 ommu                    	 ommu                    	0.3230
 yɛrehaahae              	 yɛrehaahae              	0.7846
 Apopobibiri             	 Apopobibiri             	0.9692
 Shirashimu              	 Shirashimu              	0.2579
 montiatia               	 montiatia               	0.7602
 WɔRETOTOW               	 WɔRETOTOW               	0.3624
 Bɔre                    	 Bɔre                    	0.6703
 muae                    	 muae                    	0.9660
 vodka                   	 vodka                   	0.5861
 .                       	 .                       	0.9938
 mmuee                   	 mmuee                   	0.4069
 ɔbabaa                  	 ɔbabaa                  	0.4893
 Asenso                  	 Asenso                  	0.5924
 Bastia                  	 Bastia                  	0.8008
 MMIRE                   	 MMIRE                   	0.4118
 wɔanhu                  	 wɔanhu                  	0.9205
 Megyee                  	 Megyee                  	0.9805
 Nsa                     	 Nsa                     	0.9154
 worentew                	 worentew                	0.1823
 ɛkyinkyini              	 ɛkyinkyini              	0.2612
 Eat                     	 Eat                     	0.9823
 mɛsoɛ                   	 mɛsoɛ                   	0.9352
 munhuu                  	 munhuu                  	0.8663
 ɛbɛk                    	 ɛbɛk                    	0.5001
 mammu                   	 mammu                   	0.5652
 ɔsafo                   	 ɔsafo                   	0.9962
 meremfi                 	 meremfi                 	0.5268
 Nahamani                	 Nahamani                	0.8642
 Smuts                   	 Smuts                   	0.9624
 mansakra                	 mansakra                	0.5344
 Foenike                 	 Foenike                 	0.9435
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Azevedo                 	 Azevedo                 	0.5222
 ateateaa.               	 ateateaa.               	0.1804
 ABISA                   	 ABISA                   	0.7108
 biribie                 	 biribie                 	0.9942
 Apɔnkɔ                  	 Apɔnkɔ                  	0.7891
 nkurɔfokuo              	 nkurɔfokuo              	0.9065
 Wɔbɛbom                 	 Wɔbɛbom                 	0.7394
 Hanania                 	 Hanania                 	0.9933
 ntafowa                 	 ntafowa                 	0.2823
 gb                      	 gb                      	0.5123
 torobɛntohyɛnfo         	 torobɛntohyɛnfo         	0.7026
 nnwomto                 	 nnwomto                 	0.6931
 wɔrekɔsɔ                	 wɔrekɔsɔ                	0.6756
 Diagnostiɔ              	 Diagnostiɔ              	0.4880
 Bahia                   	 Bahia                   	0.9626
 Nkonyafoɔ               	 Nkonyafoɔ               	0.9399
 Engiresini              	 Engiresini              	0.8192
 wɔretetew               	 wɔtetetew               	0.1807
 Mfofɔreso               	 Mfofɔreso               	0.5168
 nufu                    	 nufu                    	0.8895
 Asm                     	 Asm                     	0.9715
 ɔKASATIAFO              	 ɔKASATIAFO              	0.2607
 Nt                      	 Nt                      	0.9974
 yɛbɛhh                  	 yɛbɛhh                  	0.5005
 Hananiah                	 Hananiah                	0.6434
 turom                   	 turom                   	0.9706
 Broekmans               	 Broekmans               	0.3205
 didi                    	 didi                    	0.5194
 Sokontwe                	 Sokontwe                	0.9925
 asaesae                 	 asaesae                 	0.3804
 Ewɔ                     	 Ewɔ                     	0.5953
 Portraits               	 Portraits               	0.3954
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Broadɔasting.           	 Broadɔasting.           	0.3293
 yɛkyerɛkyerɛ            	 yɛkyerɛkyerɛ            	0.4093
 yɛmmɔre                 	 yɛmmɔre                 	0.4380
 Nissiotis               	 Nissiotis               	0.8637
 nkwamoaa                	 nkwamoaa                	0.8415
 sotifoɔ                 	 sotifoɔ                 	0.9943
 Yose                    	 Yose                    	0.9115
 bakorɔ                  	 bakorɔ                  	0.9484
 ɛbɛfa                   	 ɛbɛfa                   	0.9987
 wankwati                	 wankwati                	0.4863
 make                    	 make                    	0.9978
 GUTHRIE                 	 GUTHRIE                 	0.4094
 Pɔtɔfoɔ                 	 Pɔtɔfoɔ                 	0.4183
 Afunsie                 	 Afunsie                 	0.9898
 ideophone               	 ideophone               	0.9588
 no.                     	 no.                     	0.8079
 Aduampa                 	 Aduampa                 	0.2324
 bɛkɛntɛn                	 bɛkɛntɛn                	0.5991
 Talmon                  	 Talmon                  	0.7957
 onyini                  	 onyini                  	0.9626
 Hyɛn                    	 Hyɛn                    	0.5134
 anisoɔhyeɛ              	 anisoɔhyeɛ              	0.5814
 mekɔhwee                	 mekɔhwee                	0.8217
 akra.                   	 akra.                   	0.8067
 akuakuo.                	 akuakuo.                	0.8661
 Yɛnhwɛ                  	 Yɛnhwɛ                  	0.5471
 Kekule                  	 Kekule                  	0.6122
 wɔsɔ                    	 wɔsɔ                    	0.4404
 Nairobini               	 Nairobini               	0.5874
 ahobrɛaseɛfoɔ.          	 abobrɛaseɛfoɔ.          	0.0095
 mehwehwɛeɛ              	 mehwehwɛeɛ              	0.5273
 Mmaabun                 	 Mmaabun                 	0.4703
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Eusebio                 	 Eusebio                 	0.8026
 moretwɛn                	 moretwɛn                	0.2679
 KINGDOM                 	 KINGDOM                 	0.3767
 Niuefo                  	 Niuefo                  	0.7788
 Amus                    	 Amus                    	0.9565
 Venda                   	 Venda                   	0.5634
 ahyehye                 	 ahyehye                 	0.8761
 Arbon                   	 Arbon                   	0.9949
 atuntum                 	 atuntum                 	0.9792
 wobekurakura            	 wobekurakura            	0.4888
 ɔkɔtɔnee                	 ɔkɔtɔnee                	0.8236
 nwininwiniinwini        	 nwininwininwini         	0.1730
 apoobɔ                  	 apoobɔ                  	0.8676
 Hegai                   	 Hegai                   	0.7307
 wugyee                  	 wugyee                  	0.4375
 AHYɛ                    	 AHYɛ                    	0.5484
 Luigi                   	 Luigi                   	0.6661
 Virgin                  	 Virgin                  	0.5178
 bota                    	 bota                    	0.4091
 kwa!                    	 kwa!                    	0.9993
 Befi                    	 Befi                    	0.9996
 Masoretefo              	 Masoretefo              	0.5043
 ɛnhwɛ                   	 ɛnhwɛ                   	0.7869
 yɛkyemee                	 yɛkyemee                	0.6252
 Refan                   	 Refan                   	0.9341
 simpie.                 	 simpie.                 	0.9826
 Steps                   	 Steps                   	0.9459
 resiw                   	 resiw                   	0.9991
